frame,latency_ms,fps,num_people,cpu_percent,ram_percent
0,4742.753399994399,0.21084798547636505,3,0.0,92.2
1,99.07489999750396,10.093373801287646,3,100.0,92.1
2,86.5334999980405,11.55621811232233,4,100.0,92.0
3,79.62039999983972,12.559595279626993,3,100.0,91.9
4,86.1605000027339,11.606246481488265,3,100.0,91.8
5,82.56429999892134,12.111772279460547,3,100.0,91.7
6,86.57700000185287,11.550411771932483,4,100.0,91.6
7,101.56460000143852,9.845950262058201,4,100.0,91.4
8,84.49989999644458,11.8343335322536,3,100.0,91.3
9,84.43550000083633,11.843359724169279,3,100.0,91.2
10,85.71649999794317,11.6663652858434,2,100.0,91.1
11,84.55119999416638,11.827153252336988,2,100.0,91.0
12,87.70709999953397,11.401585504540835,2,100.0,90.8
13,87.10690000589238,11.480146807340802,1,100.0,90.6
14,88.15139999933308,11.344119322070501,3,100.0,90.5
15,89.24700000352459,11.204858426171272,3,100.0,90.3
16,89.40959999745246,11.184481308813515,2,100.0,90.1
17,88.74329999525798,11.268456323502003,2,100.0,89.5
18,84.08920000510989,11.892133590749259,1,100.0,89.3
19,91.27799999987474,10.9555424089197,2,100.0,89.3
20,88.44479999970645,11.306487210139196,1,100.0,89.1
21,92.84800000023097,10.77029122864803,1,100.0,89.0
22,85.60319999378407,11.68180628846367,1,100.0,88.8
23,87.85610000632005,11.382248926688797,1,100.0,88.6
24,86.03610000136541,11.62302800782613,1,100.0,88.4
25,86.85999999579508,11.51277918545257,1,100.0,88.3
26,88.84290000423789,11.255823481136918,1,100.0,88.2
27,85.8010000010836,11.654875817150975,1,100.0,88.1
28,84.86290000291774,11.783712316755828,2,100.0,87.9
29,83.04460000363179,12.041722158409662,1,100.0,87.7
30,86.11569999629864,11.612284403923805,1,100.0,87.5
31,83.75119999982417,11.940127425064947,2,100.0,87.4
32,83.31529999850318,12.002597362284787,2,100.0,87.4
33,82.0164000033401,12.192683414040062,2,100.0,87.4
34,94.70259999943664,10.559372182030364,3,100.0,87.4
35,77.76150000427151,12.859834236030286,2,100.0,87.4
36,75.48149999638554,13.24827938034996,2,100.0,87.4
37,78.98209999984829,12.661096628247677,2,100.0,87.4
38,77.83650000055786,12.847443037557353,2,100.0,87.4
39,76.71819999814034,13.03471666467983,1,100.0,87.4
40,75.96399999602,13.164130378236973,2,100.0,87.4
41,75.10099999490194,13.315401926311004,1,100.0,87.4
42,75.83609999710461,13.186332103551996,1,100.0,87.4
43,88.39350000198465,11.313049036157043,2,100.0,87.4
44,77.9099000064889,12.835339281871915,2,100.0,87.4
45,74.82380000146804,13.364731542375287,2,100.0,87.4
46,73.59150000411319,13.588525848013804,1,100.0,87.4
47,75.64339999953518,13.219924011958016,1,100.0,87.5
48,73.09199999872362,13.6813878402214,1,100.0,87.5
49,75.276000003214,13.2844465693887,2,100.0,87.5
50,86.39620000030845,11.574583141346839,1,100.0,87.4
51,76.76610000635264,13.026583347561576,1,100.0,87.4
52,76.68530000228202,13.040308898449139,2,100.0,87.4
53,76.75039999594446,13.029248056724663,3,100.0,87.4
54,90.51370000088355,11.04805128936546,3,100.0,87.4
55,72.96489999862388,13.705219907364501,1,100.0,87.3
56,75.62099999631755,13.223839939285332,1,100.0,87.4
57,79.59589999518357,12.563461184062383,3,100.0,87.4
58,80.27639999636449,12.4569611996214,3,100.0,87.4
59,78.25579999916954,12.77860554758385,2,100.0,87.4
60,75.16759999998612,13.303604212455694,2,100.0,87.4
61,75.6831000035163,13.212989425030676,3,100.0,87.4
62,81.7453000054229,12.23311921215851,0,100.0,87.4
63,73.94290000229375,13.523948884463273,0,100.0,87.4
64,72.52130000415491,13.78905231901121,0,100.0,87.4
65,73.1725000005099,13.666336396775176,0,100.0,87.4
66,86.12049999646842,11.611637183260749,1,100.0,87.4
67,80.06830000522314,12.48933722752658,1,100.0,87.4
68,83.96199999697274,11.91014983011428,1,100.0,87.5
69,78.48269999522017,12.741661538923902,1,100.0,87.4
70,78.39080000121612,12.756598988458931,0,100.0,87.4
71,89.08240000164369,11.225561951424172,0,100.0,87.4
72,88.75909999915166,11.26645042603584,1,100.0,87.5
73,88.17719999933615,11.340800116215172,1,100.0,87.5
74,91.44299999752548,10.935774198430288,1,100.0,87.5
75,85.89539999957196,11.64206697919776,2,100.0,87.4
76,89.95300000242423,11.116916611708893,0,100.0,87.4
77,91.06669999891892,10.980962305781052,1,100.0,87.4
78,88.98609999596374,11.237710159736839,1,100.0,87.4
79,100.13190000609029,9.986827374085355,1,100.0,87.4
80,88.96239999739919,11.240703938172025,1,100.0,87.4
81,84.10400000138907,11.890040901544324,1,100.0,87.4
82,85.33970000280533,11.717875736229768,0,100.0,87.4
